SessionID,Timestamp,EventType,Category,Value,Metadata
Session_2026-04-24_12-12-12,2026-04-24T17:12:12Z,AppLaunched,Lifecycle,"","{}"
Session_2026-04-24_12-12-12,2026-04-24T17:12:13Z,ScreenViewed,Navigation,"SuggestionView","{}"
Session_2026-04-24_12-12-12,2026-04-24T17:12:13Z,AppForegrounded,Lifecycle,"","{}"
Session_2026-04-24_12-12-12,2026-04-24T17:12:14Z,ScreenViewed,Navigation,"ConnectionsView","{}"
Session_2026-04-24_12-12-12,2026-04-24T17:12:14Z,ScreenExited,Navigation,"SuggestionView","{""duration"":1.6267299652099609}"
Session_2026-04-24_12-12-12,2026-04-24T17:12:14Z,ScreenViewed,Navigation,"SuggestionView","{}"
Session_2026-04-24_12-12-12,2026-04-24T17:12:15Z,ScreenExited,Navigation,"ConnectionsView","{""duration"":1.2868080139160156}"
Session_2026-04-24_12-12-12,2026-04-24T17:12:21Z,ScreenViewed,Navigation,"ConnectionsView","{}"
Session_2026-04-24_12-12-12,2026-04-24T17:12:21Z,ScreenExited,Navigation,"SuggestionView","{""duration"":7.024090051651001}"
Session_2026-04-24_12-12-12,2026-04-24T17:12:22Z,ButtonTapped,Navigation,"ConnectionsView.AddConnection","{}"
Session_2026-04-24_12-12-12,2026-04-24T17:12:22Z,ScreenViewed,Navigation,"AddConnectionSheet","{}"
Session_2026-04-24_12-12-12,2026-04-24T17:12:22Z,PermissionRequested,Permission,"Contacts","{}"
Session_2026-04-24_12-12-12,2026-04-24T17:12:22Z,AppBackgrounded,Lifecycle,"","{}"
Session_2026-04-24_12-12-12,2026-04-24T17:12:40Z,PermissionGranted,Permission,"Contacts","{""type"":""all"",""timeElapsed"":17.413851976394653}"
Session_2026-04-24_12-12-12,2026-04-24T17:12:40Z,AppForegrounded,Lifecycle,"","{}"
Session_2026-04-24_12-12-12,2026-04-24T17:12:43Z,ScreenExited,Navigation,"AddConnectionSheet","{""duration"":20.452674984931946}"
Session_2026-04-24_12-12-12,2026-04-24T17:12:43Z,ButtonTapped,Navigation,"ConnectionsView.AddConnection","{}"
Session_2026-04-24_12-12-12,2026-04-24T17:12:43Z,ScreenViewed,Navigation,"AddConnectionSheet","{}"
Session_2026-04-24_12-12-12,2026-04-24T17:12:43Z,PermissionRequested,Permission,"Contacts","{}"
Session_2026-04-24_12-12-12,2026-04-24T17:12:43Z,PermissionGranted,Permission,"Contacts","{""timeElapsed"":2.7060508728027344e-05,""type"":""all""}"
Session_2026-04-24_12-12-12,2026-04-24T17:12:47Z,ConnectionAdded,Connection,"Leena ❤️","{""totalConnections"":1,""totalAvailable"":1,""percentage"":100,""isInitialAdd"":true}"
Session_2026-04-24_12-12-12,2026-04-24T17:12:48Z,ScreenExited,Navigation,"AddConnectionSheet","{""duration"":4.8594080209732056}"
Session_2026-04-24_12-12-12,2026-04-24T17:12:49Z,ButtonTapped,Navigation,"ConnectionsView.AddConnection","{}"
Session_2026-04-24_12-12-12,2026-04-24T17:12:49Z,ScreenViewed,Navigation,"AddConnectionSheet","{}"
Session_2026-04-24_12-12-12,2026-04-24T17:12:49Z,PermissionRequested,Permission,"Contacts","{}"
Session_2026-04-24_12-12-12,2026-04-24T17:12:49Z,PermissionGranted,Permission,"Contacts","{""timeElapsed"":3.3020973205566406e-05,""type"":""all""}"
Session_2026-04-24_12-12-12,2026-04-24T17:13:01Z,ScreenExited,Navigation,"AddConnectionSheet","{""duration"":12.022693991661072}"
