SessionID,Timestamp,EventType,Category,Value,Metadata
Session_2026-05-15_16-07-34,2026-05-15T21:07:34Z,AppLaunched,Lifecycle,"","{}"
Session_2026-05-15_16-07-34,2026-05-15T21:07:34Z,AppForegrounded,Lifecycle,"","{}"
Session_2026-05-15_16-07-34,2026-05-15T21:08:00Z,ScreenViewed,Navigation,"ConnectionsView","{}"
Session_2026-05-15_16-07-34,2026-05-15T21:08:04Z,ButtonTapped,Navigation,"ConnectionsView.AddConnection","{}"
Session_2026-05-15_16-07-34,2026-05-15T21:08:04Z,ScreenViewed,Navigation,"AddConnectionSheet","{}"
Session_2026-05-15_16-07-34,2026-05-15T21:08:04Z,PermissionRequested,Permission,"Contacts","{}"
Session_2026-05-15_16-07-34,2026-05-15T21:08:04Z,AppBackgrounded,Lifecycle,"","{}"
Session_2026-05-15_16-07-34,2026-05-15T21:08:13Z,AppForegrounded,Lifecycle,"","{}"
Session_2026-05-15_16-07-34,2026-05-15T21:08:13Z,PermissionGranted,Permission,"Contacts","{""type"":""all"",""timeElapsed"":8.9586230516433716}"
Session_2026-05-15_16-07-34,2026-05-15T21:08:15Z,ConnectionAdded,Connection,"Abby","{""totalConnections"":13,""totalAvailable"":13,""percentage"":100,""isInitialAdd"":false}"
Session_2026-05-15_16-07-34,2026-05-15T21:08:16Z,ScreenExited,Navigation,"AddConnectionSheet","{""duration"":11.398102998733521}"
Session_2026-05-15_16-07-34,2026-05-15T21:08:18Z,ScreenExited,Navigation,"ConnectionsView","{""duration"":17.811237931251526}"
Session_2026-05-15_16-07-34,2026-05-15T21:08:21Z,ScreenViewed,Navigation,"SuggestionView","{}"
Session_2026-05-15_16-07-34,2026-05-15T21:08:22Z,SuggestionsGenerated,Suggestion,"","{""contacts"":[""Drew Thompson""],""count"":1}"
Session_2026-05-15_16-07-34,2026-05-15T21:08:22Z,SuggestionViewed,Suggestion,"Drew Thompson","{""daysSinceLastHangout"":-1}"
Session_2026-05-15_16-07-34,2026-05-15T21:08:23Z,SuggestionTapped,Suggestion,"Drew Thompson","{}"
Session_2026-05-15_16-07-34,2026-05-15T21:08:23Z,ButtonTapped,Navigation,"SuggestionCard.YesLetsDoIt","{}"
Session_2026-05-15_16-07-34,2026-05-15T21:08:23Z,InvitationInitiated,Invitation,"Drew Thompson","{""freeSlotSuggested"":true,""activity"":""Visit a farmers market"",""timeOfDay"":""afternoon""}"
Session_2026-05-15_16-07-34,2026-05-15T21:08:24Z,AppBackgrounded,Lifecycle,"","{}"
Session_2026-05-15_16-07-34,2026-05-15T21:08:25Z,AppForegrounded,Lifecycle,"","{}"
Session_2026-05-15_16-07-34,2026-05-15T21:08:29Z,ScreenExited,Navigation,"SuggestionView","{""duration"":7.8708920478820801}"
Session_2026-05-15_16-07-34,2026-05-15T21:08:40Z,AppBackgrounded,Lifecycle,"","{}"
Session_2026-05-15_16-07-34,2026-05-15T21:08:41Z,AppForegrounded,Lifecycle,"","{}"
Session_2026-05-15_16-07-34,2026-05-15T21:08:41Z,SuggestionViewed,Suggestion,"Alex Demo","{""daysSinceLastHangout"":-1}"
Session_2026-05-15_16-07-34,2026-05-15T21:09:42Z,ScreenViewed,Navigation,"ConnectionsView","{}"
Session_2026-05-15_16-07-34,2026-05-15T21:09:46Z,ScreenExited,Navigation,"ConnectionsView","{""duration"":4.3599849939346313}"
Session_2026-05-15_16-07-34,2026-05-15T21:09:50Z,ScreenViewed,Navigation,"ConnectionsView","{}"
Session_2026-05-15_16-07-34,2026-05-15T21:09:51Z,ScreenExited,Navigation,"ConnectionsView","{""duration"":1.6094579696655273}"
Session_2026-05-15_16-07-34,2026-05-15T21:10:04Z,ScreenViewed,Navigation,"ConnectionsView","{}"
Session_2026-05-15_16-07-34,2026-05-15T21:10:05Z,ScreenExited,Navigation,"ConnectionsView","{""duration"":1.2464609146118164}"
Session_2026-05-15_16-07-34,2026-05-15T21:10:07Z,ScreenViewed,Navigation,"SuggestionView","{}"
Session_2026-05-15_16-07-34,2026-05-15T21:10:07Z,SuggestionViewed,Suggestion,"Alex Demo","{""daysSinceLastHangout"":-1}"
Session_2026-05-15_16-07-34,2026-05-15T21:10:07Z,SuggestionsGenerated,Suggestion,"","{""contacts"":[""Alex Demo""],""count"":1}"
Session_2026-05-15_16-07-34,2026-05-15T21:10:09Z,ScreenExited,Navigation,"SuggestionView","{""duration"":1.9164990186691284}"
Session_2026-05-15_16-07-34,2026-05-15T21:10:23Z,AppBackgrounded,Lifecycle,"","{}"
Session_2026-05-15_16-07-34,2026-05-15T21:11:00Z,AppForegrounded,Lifecycle,"","{}"
