SessionID,Timestamp,EventType,Category,Value,Metadata
Session_2026-05-13_12-39-08,2026-05-13T19:39:08Z,AppLaunched,Lifecycle,"","{}"
Session_2026-05-13_12-39-08,2026-05-13T19:39:09Z,AppForegrounded,Lifecycle,"","{}"
Session_2026-05-13_12-39-08,2026-05-13T19:39:41Z,ScreenViewed,Navigation,"ConnectionsView","{}"
Session_2026-05-13_12-39-08,2026-05-13T19:39:47Z,ScreenExited,Navigation,"ConnectionsView","{""duration"":5.7811099290847778}"
Session_2026-05-13_12-39-08,2026-05-13T19:39:56Z,ScreenViewed,Navigation,"ConnectionsView","{}"
Session_2026-05-13_12-39-08,2026-05-13T19:39:59Z,ScreenExited,Navigation,"ConnectionsView","{""duration"":3.016855001449585}"
Session_2026-05-13_12-39-08,2026-05-13T19:40:04Z,AppBackgrounded,Lifecycle,"","{}"
Session_2026-05-13_12-39-08,2026-05-13T19:40:07Z,AppForegrounded,Lifecycle,"","{}"
Session_2026-05-13_12-39-08,2026-05-13T19:40:09Z,ScreenViewed,Navigation,"ConnectionsView","{}"
Session_2026-05-13_12-39-08,2026-05-13T19:40:14Z,SuggestionsGenerated,Suggestion,"","{""contacts"":[""Alex Demo""],""count"":1}"
Session_2026-05-13_12-39-08,2026-05-13T19:40:14Z,ScreenViewed,Navigation,"SuggestionView","{}"
Session_2026-05-13_12-39-08,2026-05-13T19:40:14Z,SuggestionViewed,Suggestion,"Alex Demo","{""daysSinceLastHangout"":-1}"
Session_2026-05-13_12-39-08,2026-05-13T19:40:15Z,ScreenExited,Navigation,"ConnectionsView","{""duration"":5.8583270311355591}"
Session_2026-05-13_12-39-08,2026-05-13T19:40:19Z,ScreenExited,Navigation,"SuggestionView","{""duration"":5.0787960290908813}"
Session_2026-05-13_12-39-08,2026-05-13T19:40:20Z,ScreenViewed,Navigation,"ConnectionsView","{}"
Session_2026-05-13_12-39-08,2026-05-13T19:40:34Z,ScreenExited,Navigation,"ConnectionsView","{""duration"":14.387550950050354}"
Session_2026-05-13_12-39-08,2026-05-13T19:40:38Z,ScreenViewed,Navigation,"ConnectionsView","{}"
Session_2026-05-13_12-39-08,2026-05-13T19:40:46Z,AppBackgrounded,Lifecycle,"","{}"
Session_2026-05-13_12-39-08,2026-05-13T20:37:01Z,AppForegrounded,Lifecycle,"","{}"
Session_2026-05-13_12-39-08,2026-05-13T20:37:25Z,AppBackgrounded,Lifecycle,"","{}"
