SessionID,Timestamp,EventType,Category,Value,Metadata
Session_2026-05-15_13-00-14,2026-05-15T20:00:14Z,AppLaunched,Lifecycle,"","{}"
Session_2026-05-15_13-00-14,2026-05-15T20:00:14Z,AppForegrounded,Lifecycle,"","{}"
Session_2026-05-15_13-00-14,2026-05-15T20:00:30Z,ScreenViewed,Navigation,"SuggestionView","{}"
Session_2026-05-15_13-00-14,2026-05-15T20:00:30Z,SuggestionsGenerated,Suggestion,"","{""count"":1,""contacts"":[""Alex Demo""]}"
Session_2026-05-15_13-00-14,2026-05-15T20:00:30Z,SuggestionViewed,Suggestion,"Alex Demo","{""daysSinceLastHangout"":-1}"
Session_2026-05-15_13-00-14,2026-05-15T20:00:32Z,ButtonTapped,Navigation,"SuggestionCard.SeeDetailsEdit","{}"
Session_2026-05-15_13-00-14,2026-05-15T20:00:37Z,SuggestionTapped,Suggestion,"Alex Demo","{}"
Session_2026-05-15_13-00-14,2026-05-15T20:00:37Z,ButtonTapped,Navigation,"SuggestionCard.YesLetsDoIt","{}"
Session_2026-05-15_13-00-14,2026-05-15T20:00:37Z,InvitationInitiated,Invitation,"Alex Demo","{""timeOfDay"":""afternoon"",""freeSlotSuggested"":true,""activity"":""Go for a walk""}"
Session_2026-05-15_13-00-14,2026-05-15T20:00:37Z,AppBackgrounded,Lifecycle,"","{}"
Session_2026-05-15_13-00-14,2026-05-15T20:00:38Z,AppForegrounded,Lifecycle,"","{}"
Session_2026-05-15_13-00-14,2026-05-15T20:00:46Z,ScreenExited,Navigation,"SuggestionView","{""duration"":16.007413983345032}"
Session_2026-05-15_13-00-14,2026-05-15T20:00:57Z,AppBackgrounded,Lifecycle,"","{}"
Session_2026-05-15_13-00-14,2026-05-15T20:00:59Z,AppForegrounded,Lifecycle,"","{}"
Session_2026-05-15_13-00-14,2026-05-15T20:00:59Z,SuggestionViewed,Suggestion,"Alex Demo","{""daysSinceLastHangout"":-1}"
Session_2026-05-15_13-00-14,2026-05-15T20:01:23Z,ScreenViewed,Navigation,"ConnectionsView","{}"
Session_2026-05-15_13-00-14,2026-05-15T20:01:26Z,ScreenExited,Navigation,"ConnectionsView","{""duration"":3.1036739349365234}"
Session_2026-05-15_13-00-14,2026-05-15T20:01:28Z,ScreenViewed,Navigation,"ConnectionsView","{}"
Session_2026-05-15_13-00-14,2026-05-15T20:01:29Z,ButtonTapped,Navigation,"ConnectionsView.AddConnection","{}"
Session_2026-05-15_13-00-14,2026-05-15T20:01:29Z,ScreenViewed,Navigation,"AddConnectionSheet","{}"
Session_2026-05-15_13-00-14,2026-05-15T20:01:29Z,PermissionRequested,Permission,"Contacts","{}"
Session_2026-05-15_13-00-14,2026-05-15T20:01:29Z,AppBackgrounded,Lifecycle,"","{}"
Session_2026-05-15_13-00-14,2026-05-15T20:01:35Z,PermissionGranted,Permission,"Contacts","{""type"":""all"",""timeElapsed"":5.7149319648742676}"
Session_2026-05-15_13-00-14,2026-05-15T20:01:35Z,AppForegrounded,Lifecycle,"","{}"
Session_2026-05-15_13-00-14,2026-05-15T20:01:38Z,ConnectionAdded,Connection,"Ronny Abdullah","{""totalAvailable"":14,""isInitialAdd"":false,""totalConnections"":14,""percentage"":100}"
Session_2026-05-15_13-00-14,2026-05-15T20:01:38Z,ScreenExited,Navigation,"AddConnectionSheet","{""duration"":9.2962419986724854}"
Session_2026-05-15_13-00-14,2026-05-15T20:01:40Z,ScreenExited,Navigation,"ConnectionsView","{""duration"":11.898128986358643}"
Session_2026-05-15_13-00-14,2026-05-15T20:01:42Z,AppBackgrounded,Lifecycle,"","{}"
Session_2026-05-15_13-00-14,2026-05-15T20:01:47Z,AppForegrounded,Lifecycle,"","{}"
Session_2026-05-15_13-00-14,2026-05-15T20:01:51Z,ScreenViewed,Navigation,"ConnectionsView","{}"
Session_2026-05-15_13-00-14,2026-05-15T20:01:54Z,ScreenExited,Navigation,"ConnectionsView","{""duration"":2.5118709802627563}"
Session_2026-05-15_13-00-14,2026-05-15T20:02:22Z,ScreenViewed,Navigation,"ConnectionsView","{}"
Session_2026-05-15_13-00-14,2026-05-15T20:02:23Z,ScreenExited,Navigation,"ConnectionsView","{""duration"":1.2858700752258301}"
