SessionID,Timestamp,EventType,Category,Value,Metadata
Session_2026-05-13_12-39-18,2026-05-13T19:39:18Z,AppLaunched,Lifecycle,"","{}"
Session_2026-05-13_12-39-18,2026-05-13T19:39:18Z,AppForegrounded,Lifecycle,"","{}"
Session_2026-05-13_12-39-18,2026-05-13T19:39:59Z,ScreenViewed,Navigation,"ConnectionsView","{}"
Session_2026-05-13_12-39-18,2026-05-13T19:40:03Z,ScreenExited,Navigation,"ConnectionsView","{""duration"":4.2521970272064209}"
Session_2026-05-13_12-39-18,2026-05-13T19:40:05Z,ScreenViewed,Navigation,"SuggestionView","{}"
Session_2026-05-13_12-39-18,2026-05-13T19:40:05Z,SuggestionsGenerated,Suggestion,"","{""count"":1,""contacts"":[""Alex Demo""]}"
Session_2026-05-13_12-39-18,2026-05-13T19:40:05Z,SuggestionViewed,Suggestion,"Alex Demo","{""daysSinceLastHangout"":-1}"
Session_2026-05-13_12-39-18,2026-05-13T19:40:24Z,SuggestionTapped,Suggestion,"Alex Demo","{}"
Session_2026-05-13_12-39-18,2026-05-13T19:40:24Z,ButtonTapped,Navigation,"SuggestionCard.YesLetsDoIt","{}"
Session_2026-05-13_12-39-18,2026-05-13T19:40:24Z,InvitationInitiated,Invitation,"Alex Demo","{""freeSlotSuggested"":true,""activity"":""Grab coffee"",""timeOfDay"":""afternoon""}"
Session_2026-05-13_12-39-18,2026-05-13T19:40:24Z,AppBackgrounded,Lifecycle,"","{}"
Session_2026-05-13_12-39-18,2026-05-13T19:40:26Z,AppForegrounded,Lifecycle,"","{}"
Session_2026-05-13_12-39-18,2026-05-13T19:40:31Z,ScreenExited,Navigation,"SuggestionView","{""duration"":26.475494027137756}"
Session_2026-05-13_12-39-18,2026-05-13T19:40:48Z,ScreenViewed,Navigation,"ConnectionsView","{}"
Session_2026-05-13_12-39-18,2026-05-13T19:41:01Z,ScreenExited,Navigation,"ConnectionsView","{""duration"":12.860015988349915}"
Session_2026-05-13_12-39-18,2026-05-13T19:41:11Z,ScreenViewed,Navigation,"SuggestionView","{}"
Session_2026-05-13_12-39-18,2026-05-13T19:41:13Z,SuggestionsGenerated,Suggestion,"","{""count"":1,""contacts"":[""Drew Thompson""]}"
Session_2026-05-13_12-39-18,2026-05-13T19:41:13Z,SuggestionViewed,Suggestion,"Drew Thompson","{""daysSinceLastHangout"":-1}"
Session_2026-05-13_12-39-18,2026-05-13T19:41:16Z,ButtonTapped,Navigation,"SuggestionCard.SeeDetailsEdit","{}"
Session_2026-05-13_12-39-18,2026-05-13T19:41:35Z,ScreenExited,Navigation,"SuggestionView","{""duration"":23.729693055152893}"
Session_2026-05-13_12-39-18,2026-05-13T19:41:38Z,ScreenViewed,Navigation,"ConnectionsView","{}"
Session_2026-05-13_12-39-18,2026-05-13T19:41:40Z,ScreenExited,Navigation,"ConnectionsView","{""duration"":2.875607967376709}"
Session_2026-05-13_12-39-18,2026-05-13T19:41:44Z,ScreenViewed,Navigation,"ConnectionsView","{}"
Session_2026-05-13_12-39-18,2026-05-13T19:41:50Z,ScreenExited,Navigation,"ConnectionsView","{""duration"":5.8496559858322144}"
Session_2026-05-13_12-39-18,2026-05-13T19:42:19Z,AppBackgrounded,Lifecycle,"","{}"
Session_2026-05-13_12-39-18,2026-05-13T19:46:56Z,AppForegrounded,Lifecycle,"","{}"
Session_2026-05-13_12-39-18,2026-05-13T19:46:58Z,SuggestionViewed,Suggestion,"Drew Thompson","{""daysSinceLastHangout"":-1}"
Session_2026-05-13_12-39-18,2026-05-13T19:47:10Z,AppBackgrounded,Lifecycle,"","{}"
Session_2026-05-13_12-39-18,2026-05-13T20:18:09Z,AppForegrounded,Lifecycle,"","{}"
Session_2026-05-13_12-39-18,2026-05-13T20:18:09Z,AppBackgrounded,Lifecycle,"","{}"
Session_2026-05-13_12-39-18,2026-05-13T20:25:06Z,AppForegrounded,Lifecycle,"","{}"
Session_2026-05-13_12-39-18,2026-05-13T20:25:09Z,ScreenViewed,Navigation,"SuggestionView","{}"
Session_2026-05-13_12-39-18,2026-05-13T20:25:09Z,SuggestionViewed,Suggestion,"Alex Demo","{""daysSinceLastHangout"":-1}"
Session_2026-05-13_12-39-18,2026-05-13T20:25:09Z,SuggestionsGenerated,Suggestion,"","{""count"":1,""contacts"":[""Alex Demo""]}"
Session_2026-05-13_12-39-18,2026-05-13T20:25:13Z,ScreenExited,Navigation,"SuggestionView","{""duration"":4.3774369955062866}"
Session_2026-05-13_12-39-18,2026-05-13T20:25:16Z,AppBackgrounded,Lifecycle,"","{}"
Session_2026-05-14_10-22-58,2026-05-14T17:22:58Z,AppLaunched,Lifecycle,"","{}"
Session_2026-05-14_10-22-58,2026-05-14T17:22:58Z,AppForegrounded,Lifecycle,"","{}"
Session_2026-05-14_10-22-58,2026-05-14T17:23:02Z,ScreenViewed,Navigation,"SuggestionView","{}"
Session_2026-05-14_10-22-58,2026-05-14T17:23:02Z,SuggestionsGenerated,Suggestion,"","{""contacts"":[""Alex Demo""],""count"":1}"
Session_2026-05-14_10-22-58,2026-05-14T17:23:02Z,SuggestionViewed,Suggestion,"Alex Demo","{""daysSinceLastHangout"":-1}"
